Date,6758.T,7203.T,9984.T,^N225,average
2017-01-04,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-05,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-06,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-10,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-11,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-12,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-13,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-16,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-17,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-18,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-19,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-20,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-23,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-24,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-25,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-26,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-27,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-30,10000.0,10000.0,10000.0,10000.0,10000.0
2017-01-31,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-01,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-02,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-03,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-06,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-07,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-08,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-09,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-10,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-13,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-14,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-15,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-16,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-17,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-20,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-21,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-22,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-23,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-24,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-27,10000.0,10000.0,10000.0,10000.0,10000.0
2017-02-28,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-01,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-02,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-03,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-06,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-07,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-08,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-09,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-10,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-13,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-14,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-15,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-16,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-17,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-21,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-22,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-23,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-24,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-27,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-28,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-29,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-30,10000.0,10000.0,10000.0,10000.0,10000.0
2017-03-31,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-03,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-04,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-05,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-06,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-07,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-10,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-11,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-12,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-13,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-14,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-17,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-18,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-19,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-20,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-21,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-24,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-25,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-26,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-27,10000.0,10000.0,10000.0,10000.0,10000.0
2017-04-28,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-01,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-02,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-08,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-09,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-10,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-11,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-12,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-15,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-16,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-17,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-18,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-19,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-22,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-23,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-24,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-25,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-26,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-29,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-30,10000.0,10000.0,10000.0,10000.0,10000.0
2017-05-31,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-01,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-02,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-05,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-06,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-07,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-08,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-09,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-12,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-13,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-14,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-15,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-16,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-19,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-20,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-21,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-22,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-23,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-26,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-27,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-28,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-29,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-30,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-03,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-04,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-05,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-06,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-07,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-10,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-11,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-12,10000.0,10000.0,10000.0,10000.0,10000.0
2017-07-13,10000.0,10000.0,10000.0,10000.0,10000.0
